epoch,train_loss,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,0.3569353222846985,0.37061241269111633,62.39388656616211,28.127540588378906,1.8673956394195557,92.75943756103516,0.1
50,0.0014397257473319769,0.0014326402451843023,3.7374887466430664,2.0721139907836914,0.01994745433330536,5.830982685089111,8.1
100,0.00042824342381209135,0.00044577743392437696,0.8670279383659363,0.7251667380332947,0.0017399307107552886,1.5943803787231445,16.8
150,0.00020381194190122187,0.00022301827266346663,0.4868995249271393,0.3949078619480133,0.0004569626762531698,0.8824873566627502,25.6
200,0.00013151703751645982,0.00014148050104267895,0.3680918216705322,0.2535803020000458,0.00034706867882050574,0.6221606731414795,34.4
250,7.992226164788008e-05,8.642624015919864e-05,0.2498217225074768,0.1591864973306656,0.0002593845420051366,0.409354031085968,43.0
300,5.599689029622823e-05,5.902456905459985e-05,0.1915593445301056,0.10391120612621307,0.00021267258853185922,0.2957422435283661,51.6
350,4.1223771404474974e-05,4.374971103970893e-05,0.1942787915468216,0.09078461676836014,0.0001540451485197991,0.28526121377944946,60.9
400,2.674620736797806e-05,2.7918322302866727e-05,0.1535089761018753,0.06800100952386856,0.00012602939386852086,0.2216639518737793,69.5
450,2.1029361960245296e-05,2.246416624984704e-05,0.13555265963077545,0.06180255487561226,0.00011020138481399044,0.19748787581920624,76.7
500,1.749851435306482e-05,1.9058144971495494e-05,0.1401410698890686,0.05487559735774994,8.401632658205926e-05,0.1951197385787964,84.2
550,1.4182483027980197e-05,1.5136079127842095e-05,0.1369195431470871,0.04977109283208847,6.088411828386597e-05,0.18676665425300598,91.5
600,1.1952971362916287e-05,1.286353017349029e-05,0.11549988389015198,0.04084538295865059,4.6518358431058004e-05,0.15640465915203094,98.6
650,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,103.8
700,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,105.4
750,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,107.0
800,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,108.6
850,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,110.2
900,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,111.8
950,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,113.4
1000,1.0867628589039668e-05,1.1807841474364977e-05,0.11228258162736893,0.03829418122768402,3.9426900912076235e-05,0.150628000497818,115.1
