epoch,train_loss,val_data,val_dt,val_pinn,val_pinn_ic,val_total,elapsed_s
1,0.652805745601654,0.6339235305786133,65.97795867919922,13.620404243469238,2.1279149055480957,82.3602066040039,0.1
50,0.002534659346565604,0.002240132074803114,7.5997796058654785,2.6370315551757812,0.055257223546504974,10.29430866241455,8.2
100,0.0008838684298098087,0.0008729528053663671,3.827852964401245,1.5799530744552612,0.013050029054284096,5.42172908782959,17.2
150,0.00028829745133407414,0.00032818916952237487,1.631866693496704,0.6727698445320129,0.0019512256840243936,2.3069159984588623,25.9
200,0.0001326153869740665,0.00015745368727948517,0.718869149684906,0.2551194429397583,0.000762473966460675,0.9749085307121277,34.8
250,7.588973676320165e-05,9.087120997719467e-05,0.4111078083515167,0.1438877135515213,0.0004181229160167277,0.5555045008659363,43.5
300,4.746527338284068e-05,6.665250839432701e-05,0.2538736164569855,0.07445427030324936,0.0002764400269370526,0.3286709785461426,52.0
350,3.585711237974465e-05,5.080581831862219e-05,0.2349308878183365,0.054751764982938766,0.00016210823378060013,0.28989556431770325,59.4
400,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,66.9
450,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,68.7
500,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,70.6
550,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,72.5
600,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,74.4
650,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,76.2
700,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,78.1
750,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,79.9
800,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,81.8
850,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,83.6
900,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,85.5
950,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,87.3
1000,2.721406053751707e-05,3.6837085644947365e-05,0.18902263045310974,0.045152559876441956,9.592446440365165e-05,0.23430794477462769,89.2
