epoch,train_total,train_data,train_dt,train_pinn,train_pinn_ic,d_data,d_dt_norm,d_pinn_norm,d_ic,val_total,val_data,val_dt,weight_data,weight_dt,weight_pinn,weight_pinn_ic,elapsed_s
1,0.35847440361976624,0.3583833873271942,61.86773681640625,27.32935333251953,1.8293129205703735,0.0,0.0,0.0,0.0,63.06996247172356,0.3595857322216034,62.71037673950195,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,2.147832155227661
2,0.2792985737323761,0.27922168374061584,62.15052795410156,12.806795120239258,1.9354755878448486,-0.07916170358657837,2.340867757797241,95.67433166503906,0.1061626672744751,63.27036002278328,0.2782793343067169,62.99208068847656,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,3.913606643676758
3,0.20258192718029022,0.20246067643165588,63.97090530395508,54.03767013549805,3.246840238571167,-0.07676100730895996,16.267122268676758,256.30230712890625,1.3113646507263184,65.01276576519012,0.203027606010437,64.80973815917969,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5.676432371139526
4,0.18060658872127533,0.18052707612514496,63.9471435546875,12.239020347595215,3.329332113265991,-0.021933600306510925,1.735084056854248,268.3664855957031,0.08249187469482422,64.97034120559692,0.18059968948364258,64.78974151611328,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,7.654110670089722
5,0.17539817094802856,0.17531727254390717,63.81441879272461,13.858025550842285,3.226006269454956,-0.005209803581237793,0.7957460284233093,19.657054901123047,-0.10332584381103516,64.82944566011429,0.17561417818069458,64.6538314819336,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.569293737411499
6,0.16987930238246918,0.16978971660137177,63.76792526245117,22.56714630126953,3.256497383117676,-0.0055275559425354,0.6235211491584778,58.055912017822266,0.030491113662719727,64.77025139331818,0.16997063159942627,64.60028076171875,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,11.343292713165283
7,0.16442367434501648,0.1643441915512085,63.43864822387695,12.854453086853027,3.187950611114502,-0.005445525050163269,3.4152541160583496,62.5307731628418,-0.06854677200317383,64.44195556640625,0.16504669189453125,64.27690887451172,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,13.337287902832031
8,0.15661479532718658,0.1565234214067459,61.77829360961914,26.631593704223633,2.956465482711792,-0.007820770144462585,12.481313705444336,98.38475036621094,-0.23148512840270996,62.800196051597595,0.1575073003768921,62.6426887512207,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,15.334619998931885
9,0.11987524479627609,0.119767926633358,54.912654876708984,50.08590316772461,2.325000524520874,-0.03675549477338791,50.486820220947266,154.35972595214844,-0.631464958190918,55.90766720473766,0.12041287124156952,55.787254333496094,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,17.267808198928833
10,0.08490510284900665,0.08479740470647812,48.12122344970703,57.47010803222656,2.101200580596924,-0.03497052192687988,62.39363098144531,102.44769287109375,-0.2237999439239502,49.15896608680487,0.08366014808416367,49.0753059387207,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,19.198031425476074
11,0.05847175046801567,0.05837969854474068,39.58210372924805,51.370849609375,1.1003488302230835,-0.026417706161737442,89.71505737304688,129.38429260253906,-1.0008517503738403,40.632068786770105,0.05881134048104286,40.57325744628906,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,20.990967750549316
12,0.02951236069202423,0.02945777401328087,24.20517921447754,29.88764190673828,0.49330440163612366,-0.02892192453145981,141.49725341796875,154.19540405273438,-0.6070444583892822,24.876789992675185,0.02947515808045864,24.847314834594727,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,22.780070543289185
13,0.01964770071208477,0.019617000594735146,18.614360809326172,11.789239883422852,0.2948263883590698,-0.009840773418545723,46.42721176147461,116.2259521484375,-0.19847801327705383,19.109383262693882,0.019512809813022614,19.08987045288086,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,24.579025268554688
14,0.014784048311412334,0.014758306555449963,16.192411422729492,9.328144073486328,0.22183790802955627,-0.004858694039285183,13.667638778686523,12.543397903442383,-0.07298848032951355,16.665868069045246,0.01460960041731596,16.65125846862793,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,26.37568712234497
15,0.010504386387765408,0.010483202524483204,13.51995849609375,7.523977756500244,0.13969939947128296,-0.004275104030966759,14.710077285766602,18.04991340637207,-0.08213850855827332,13.99031734932214,0.010417942889034748,13.979899406433105,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,28.398430824279785
16,0.008481387048959732,0.008463330566883087,12.480158805847168,5.452060222625732,0.1246880441904068,-0.0020198719576001167,7.85401725769043,13.820040702819824,-0.01501135528087616,12.96751727256924,0.00838507805019617,12.959132194519043,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,30.205901622772217
17,0.006658315658569336,0.006642244756221771,11.093565940856934,4.866723537445068,0.11090555787086487,-0.001821085810661316,10.0791597366333,3.5305278301239014,-0.013782486319541931,11.528295519761741,0.00644016545265913,11.521855354309082,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,32.01002216339111
18,0.00605127913877368,0.006036754697561264,10.853442192077637,3.5546371936798096,0.11607025563716888,-0.0006054900586605072,1.5606534481048584,8.440786361694336,0.005164697766304016,11.282664301339537,0.005846979562193155,11.276817321777344,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,33.818246603012085
19,0.005559328477829695,0.005544906482100487,10.48051929473877,3.835129976272583,0.10616564005613327,-0.0004918482154607773,2.5317225456237793,3.997760057449341,-0.009904615581035614,10.912154283374548,0.005365457385778427,10.90678882598877,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,35.62363600730896
20,0.005187002010643482,0.0051740240305662155,10.308045387268066,2.5639572143554688,0.10597794502973557,-0.00037088245153427124,1.4657098054885864,8.05992317199707,-0.00018769502639770508,10.73822658509016,0.005017928779125214,10.733208656311035,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,37.43440818786621
21,0.004879035986959934,0.004865954630076885,10.265859603881836,2.713763952255249,0.1017613410949707,-0.0003080694004893303,0.965487539768219,5.476656913757324,-0.004216603934764862,10.696575233712792,0.004660675302147865,10.691914558410645,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,39.23796081542969
22,0.004451454617083073,0.004438340198248625,10.023991584777832,2.9963197708129883,0.0942477360367775,-0.0004276144318282604,1.8234350681304932,3.5524308681488037,-0.007513605058193207,10.444916340056807,0.004289241973310709,10.440627098083496,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,41.05066418647766
23,0.004010264296084642,0.003998036962002516,9.609402656555176,2.527461290359497,0.09040198475122452,-0.000440303236246109,2.5732064247131348,3.6045491695404053,-0.0038457512855529785,10.027449717512354,0.003894915571436286,10.023554801940918,1.0,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,42.85612201690674
