epoch,train_total,train_data,train_dt,train_pinn,train_pinn_ic,d_data,d_dt_norm,d_pinn_norm,d_ic,val_total,val_data,val_dt,weight_data,weight_dt,weight_pinn,weight_pinn_ic,elapsed_s
1,0.4243259131908417,0.35880258679389954,62.10747528076172,15.392558097839355,1.8766030073165894,0.0,0.0,0.0,0.0,60.61184251308441,0.352225661277771,60.25961685180664,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,3.285867214202881
2,0.34130269289016724,0.27584174275398254,62.40280532836914,11.095818519592285,1.9485443830490112,-0.08296084403991699,2.5186312198638916,29.215320587158203,0.07194137573242188,60.81636467576027,0.2692379057407379,60.54712677001953,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,5.31722092628479
3,0.26357245445251465,0.1947326809167862,64.15310668945312,14.85269832611084,3.2013742923736572,-0.08110906183719635,15.995407104492188,54.54670715332031,1.252829909324646,62.474047780036926,0.19120323657989502,62.28284454345703,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,7.348012208938599
4,0.24728457629680634,0.1793043166399002,64.11541748046875,5.798093318939209,3.2850356101989746,-0.015428364276885986,1.3987795114517212,66.99909210205078,0.08366131782531738,62.43448422849178,0.17633984982967377,62.25814437866211,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,9.382278680801392
5,0.2422080785036087,0.1741519421339035,63.89921188354492,9.484504699707031,3.208479404449463,-0.005152374505996704,1.692517876625061,23.951353073120117,-0.07655620574951172,62.2186284661293,0.17145973443984985,62.04716873168945,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,11.351374864578247
6,0.23492670059204102,0.16733406484127045,63.55446243286133,8.83512020111084,3.1546568870544434,-0.006817877292633057,3.3507866859436035,15.820037841796875,-0.05382251739501953,61.87705713510513,0.16541391611099243,61.71164321899414,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,13.17431926727295
7,0.23113271594047546,0.1643216758966446,63.27458953857422,4.148108005523682,3.1216368675231934,-0.0030123889446258545,2.568338394165039,39.27299880981445,-0.03302001953125,61.591360688209534,0.16258108615875244,61.42877960205078,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,14.995941638946533
8,0.22372201085090637,0.15738001465797424,61.97589874267578,14.632575035095215,2.9028375148773193,-0.006941661238670349,10.257885932922363,76.39750671386719,-0.21879935264587402,60.274836376309395,0.1553982049226761,60.11943817138672,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,16.820204734802246
9,0.19203002750873566,0.12935185432434082,55.2576904296875,50.3988037109375,2.380605459213257,-0.028028160333633423,51.425804138183594,231.30581665039062,-0.5222320556640625,53.51652143895626,0.12723921239376068,53.3892822265625,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,18.644999504089355
10,0.12928161025047302,0.07872838526964188,45.82706069946289,29.338727951049805,1.792283058166504,-0.050623469054698944,81.88520050048828,139.82557678222656,-0.5883224010467529,44.08786199986935,0.07706259191036224,44.010799407958984,1.0,0.0010000000474974513,9.999999747378752e-05,0.0010000000474974513,20.62216544151306
